compound	compound	compound
http://www.wikidata.org/entity/Q245825	N#S(F)(F)F	
http://www.wikidata.org/entity/Q246414	FS(F)(F)(F)(F)S(F)(F)(F)(F)F	
http://www.wikidata.org/entity/Q253118	C1CCCOCC1	
http://www.wikidata.org/entity/Q254296	CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F	
http://www.wikidata.org/entity/Q290992	C1=CC(=CC=C1CCN)S(=O)(=O)F	
http://www.wikidata.org/entity/Q291271	C1=CC(=CC=C1C(=O)NCC(=O)O)N	
http://www.wikidata.org/entity/Q189522	http://www.wikidata.org/entity/Q189523	COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O
http://www.wikidata.org/entity/Q204178	COC(=O)C=CC1=CC=CC=C1	COC(=O)/C=C/C1=CC=CC=C1
http://www.wikidata.org/entity/Q221174	CC1(OC2COC3(C(C2O1)OC(O3)(C)C)COS(=O)(=O)N)C	CC1(O[C@@H]2CO[C@@]3([C@H]([C@@H]2O1)OC(O3)(C)C)COS(=O)(=O)N)C
